,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
pl_after_tax_0,-74868.75,,,,,,,,,,,,,,,,,,
pl_after_tax_0,,-25669.05,,,,,,,,,,,,,,,,,
pl_after_tax_0,,,-31735.314,,,,,,,,,,,,,,,,
pl_after_tax_0,,,,-52352.094,,,,,,,,,,,,,,,
pl_after_tax_0,,,,,-14804.483,,,,,,,,,,,,,,
pl_after_tax_0,,,,,,-49493.918,,,,,,,,,,,,,
pl_after_tax_0,,,,,,,-112048.195,,,,,,,,,,,,
pl_after_tax_0,,,,,,,,-106498.39,,,,,,,,,,,
pl_after_tax_0,,,,,,,,,-207107.92,,,,,,,,,,
pl_after_tax_0,,,,,,,,,,-113443.09,,,,,,,,,
pl_after_tax_0,,,,,,,,,,,-39453.35,,,,,,,,
pl_after_tax_0,,,,,,,,,,,,34126.02,,,,,,,
pl_after_tax_0,,,,,,,,,,,,,93887.625,,,,,,
pl_after_tax_0,,,,,,,,,,,,,,136438.55,,,,,
pl_after_tax_0,,,,,,,,,,,,,,,174366.23,,,,
pl_after_tax_0,,,,,,,,,,,,,,,,177882.56,,,
pl_after_tax_0,,,,,,,,,,,,,,,,,183737.53,,
pl_after_tax_0,,,,,,,,,,,,,,,,,,180843.88,
pl_after_tax_0,,,,,,,,,,,,,,,,,,,282442.3
